,training_start_date,testing_date,label,gbrt_oosR2,linear_oosR2,plsr_oosR2,lasso_oosR2,nn_oosR2
124,2018-01-23,2018-10-18,Y_M_5,0.12241462350608623,0.10582604073236024,0.10955937081403855,0.10714909494498571,0.11784110922754765
125,2018-01-23,2018-10-19,Y_M_1,0.2291447901989867,0.12030219925065777,0.13232903837575138,0.1236535885715565,-0.006044547506019127
126,2018-01-23,2018-10-19,Y_M_2,0.24318282640922687,0.16568576502565335,0.1670543302693167,0.1689983236412813,0.15381022622718232
127,2018-01-23,2018-10-19,Y_M_3,0.19442014110921302,0.1551626519775584,0.1547750633421764,0.15675834021749402,0.14226384294299899
128,2018-01-23,2018-10-19,Y_M_4,0.1564515937569506,0.11577277874081517,0.1114599087186837,0.11747717374091993,0.06906766789653018
129,2018-01-23,2018-10-19,Y_M_5,0.11261948541242661,0.09163614699184441,0.0846118487585017,0.09221151335702937,0.09349592606203595
130,2018-01-23,2018-10-22,Y_M_1,0.15847709534789756,0.13159152794755624,0.1032492030745985,0.12453135187950692,-0.0037339300945853364
131,2018-01-23,2018-10-22,Y_M_2,0.11364824750633572,0.08154280805756398,0.05621515035538671,0.07786950928254299,0.030347414332143052
132,2018-01-23,2018-10-22,Y_M_3,0.0669643604719764,0.03391955593889073,0.015390088156218562,0.03192330574835889,-0.0002270766815148928
133,2018-01-23,2018-10-22,Y_M_4,0.0592098024689246,0.009706567830884194,-0.002784492765502966,0.008027691489321143,-0.27945016685185986
134,2018-01-23,2018-10-22,Y_M_5,-0.012592442443082774,-0.04851408014614922,-0.0584590893370156,-0.048431476532105666,-0.027803814095524126
135,2018-01-23,2018-10-23,Y_M_1,0.14209751593445652,0.0894833474075406,0.07004832803428063,0.09136693446984001,-0.002971852681598719
136,2018-01-23,2018-10-23,Y_M_2,0.08333381295283138,0.038323636343137624,0.01732016778275658,0.036288218733322664,0.01405841389665585
137,2018-01-23,2018-10-23,Y_M_3,0.04070582732945616,0.03383525802380083,0.016926619517476982,0.030354386103422448,0.012783334991896433
138,2018-01-23,2018-10-23,Y_M_4,0.043807267060947286,0.0317678819856686,0.021591148456942433,0.02758130025689931,-0.08608219517631444
139,2018-01-23,2018-10-23,Y_M_5,0.02857771420825017,0.009880836274347105,0.0009075296069754878,0.005013209555381648,-0.00042336650392371666
140,2018-01-23,2018-10-24,Y_M_1,0.274340591028817,0.25375202823646836,0.23909598228724516,0.25220021913942114,-0.0026583565087376915
141,2018-01-23,2018-10-24,Y_M_2,0.24216436774894778,0.26637762173268353,0.25369053952930887,0.2634045724164542,0.2555561130473112
142,2018-01-23,2018-10-24,Y_M_3,0.17461131728381482,0.18369440003802376,0.17185030129980428,0.1804613133501476,0.17521267060746004
143,2018-01-23,2018-10-24,Y_M_4,0.12535688146152613,0.11715055639290507,0.10930207395461755,0.11349953541716817,0.06327719592780601
144,2018-01-23,2018-10-24,Y_M_5,0.11307802540482004,0.08487573890147271,0.07843641654153821,0.08085190448414858,0.017312311048602536
145,2018-01-23,2018-10-25,Y_M_1,0.15623429123234533,0.11684856637882791,0.11514835573059125,0.13465432131083288,-0.0017793461698754065
146,2018-01-23,2018-10-25,Y_M_2,0.10825065754314223,0.1165921642174873,0.11329301456587848,0.12868837533498578,0.11506565639105948
147,2018-01-23,2018-10-25,Y_M_3,0.042279056227577105,0.1472393093677612,0.13333544239549833,0.15627186702017093,0.1458229259977395
148,2018-01-23,2018-10-25,Y_M_4,0.1228302669858582,0.1604418482651666,0.1419874167163515,0.16494695313328944,0.09273521401731788
149,2018-01-23,2018-10-25,Y_M_5,0.10529028074968139,0.16717473586605436,0.14816980143759984,0.16688295379960238,-0.11151931291102479
150,2018-01-23,2018-10-26,Y_M_1,0.2763719822259454,0.2261309671977746,0.21931894100517546,0.22146160960231687,-0.006018919611056273
151,2018-01-23,2018-10-26,Y_M_2,0.24040047737895118,0.23117037316418887,0.21849550936946016,0.22529075512148977,0.20086433893664957
152,2018-01-23,2018-10-26,Y_M_3,0.19018281121947755,0.18172595180083528,0.17208583738200145,0.1786380932507765,0.1513681591571745
153,2018-01-23,2018-10-26,Y_M_4,0.130337864917084,0.12033471507487203,0.11133120029514586,0.11865639827497143,0.07183373519404201
154,2018-01-23,2018-10-26,Y_M_5,0.1010127075150764,0.0881546071971937,0.07790053928379626,0.08789341127926131,0.09916417070598504
155,2018-01-23,2018-10-29,Y_M_1,0.25105070554033915,0.19717788424853366,0.1926552237674044,0.19832759315958826,-0.0013840641647828722
156,2018-01-23,2018-10-29,Y_M_2,0.27354963857997927,0.24715591407637272,0.24597465485563275,0.24786832291112537,0.2586056182504277
157,2018-01-23,2018-10-29,Y_M_3,0.25796532000485917,0.2464816326832603,0.2494935520007775,0.24662120046197422,0.24129895876195584
158,2018-01-23,2018-10-29,Y_M_4,0.21010088404919647,0.19864976521929567,0.19812884683606458,0.19865241486740648,0.14223439887605682
159,2018-01-23,2018-10-29,Y_M_5,0.15910428778456598,0.14435990215122152,0.14351673736972403,0.14354327844285875,0.12402625238800803
160,2018-01-23,2018-10-30,Y_M_1,0.19988502052628088,0.19395016290834155,0.16301983545308651,0.18621994337810743,-0.0007605229220342125
161,2018-01-23,2018-10-30,Y_M_2,0.14020327909575514,0.16405265536741442,0.13707827267252048,0.15724769335002142,0.1318930280128836
162,2018-01-23,2018-10-30,Y_M_3,0.09376123742077347,0.13166949700281239,0.11808955044940427,0.12664917446928892,0.0950111086289388
163,2018-01-23,2018-10-30,Y_M_4,0.06238077071804493,0.0934257827935503,0.08822287369622184,0.08987985128997733,0.06025542571207887
164,2018-01-23,2018-10-30,Y_M_5,0.023912779239825488,0.04436536950345782,0.040613383619983456,0.04311632799109977,0.04175251806012048
165,2018-01-23,2018-10-31,Y_M_1,0.14753644301368285,0.19776390378372855,0.1744858523161753,0.1851599833693336,-0.0015237874593969636
166,2018-01-23,2018-10-31,Y_M_2,0.12311555182549405,0.1612391626160372,0.13905354748301335,0.1454340387561358,0.08922934338262078
167,2018-01-23,2018-10-31,Y_M_3,0.1572095452531399,0.17868996983586538,0.17141492402888392,0.16777813967293342,0.11535028046672458
168,2018-01-23,2018-10-31,Y_M_4,0.14214454280820388,0.17037595287488816,0.16699902643081743,0.1607538387931089,0.12816027915015038
169,2018-01-23,2018-10-31,Y_M_5,0.11368008043660205,0.13616105499404874,0.128862029493645,0.12606211217534968,0.14344110870643056
170,2018-01-23,2018-11-01,Y_M_1,0.22026497806771095,0.16958462993067658,0.14724657827461118,0.16850762000233455,-0.0008270103451206712
171,2018-01-23,2018-11-01,Y_M_2,0.18525551405638763,0.14966421481909098,0.13610273656311944,0.15038665634522497,0.15461612511922151
172,2018-01-23,2018-11-01,Y_M_3,0.15799218112944058,0.13171584342126386,0.12501598497213084,0.13352311313722887,0.1040063300435793
173,2018-01-23,2018-11-01,Y_M_4,0.1483676602999494,0.12212812453604516,0.12137555240620146,0.12159526028382937,0.1257309038316331
174,2018-01-23,2018-11-01,Y_M_5,0.10572760008442994,0.10189933053707623,0.09980444639491848,0.09870876222453062,0.1256506272745559
175,2018-01-23,2018-11-02,Y_M_1,0.21531826527254627,0.14802325615225842,0.12017061206164159,0.14661461000925002,-0.001404051527114758
176,2018-01-23,2018-11-02,Y_M_2,0.19123044922722643,0.17031694066007652,0.14692983280363792,0.16924441531448176,0.15493287668943723
177,2018-01-23,2018-11-02,Y_M_3,0.18847770314616621,0.1636313021189354,0.1476418480023639,0.16187199263569885,0.1506822903234094
178,2018-01-23,2018-11-02,Y_M_4,0.1883213295244467,0.155465203421828,0.1452642801900612,0.15448600672801793,0.0984336002885956
179,2018-01-23,2018-11-02,Y_M_5,0.19271958381628806,0.16262956991733557,0.1548877196131102,0.1620973660424796,0.16370479698291696
