training_start_date,testing_date,label,gbrt_oosR2,linear_oosR2,plsr_oosR2,lasso_oosR2,nn_oosR2
2018/1/23,2018/10/9,Y_M_1,0.195081498,0.158471087,0.152464715,0.159159349,0.094287365
2018/1/23,2018/10/9,Y_M_2,0.167061443,0.151446647,0.143557615,0.152230811,0.085035222
2018/1/23,2018/10/9,Y_M_3,0.121054069,0.113993134,0.109924667,0.115372592,-0.271558887
2018/1/23,2018/10/9,Y_M_4,0.061068994,0.064274714,0.059204099,0.06518647,-0.029768106
2018/1/23,2018/10/9,Y_M_5,0.013229428,0.023369383,0.021561992,0.023228464,0.042374886
2018/1/23,2018/10/11,Y_M_1,0.283954919,0.193514722,0.177456733,0.179453494,0.065613983
2018/1/23,2018/10/11,Y_M_2,0.20347983,0.109874107,0.092300279,0.09673406,-0.338417206
2018/1/23,2018/10/11,Y_M_3,0.11103003,0.063042713,0.043644688,0.048450475,-1.181442521
2018/1/23,2018/10/11,Y_M_4,0.052674004,0.033373879,0.013615496,0.021157491,-0.013810889
2018/1/23,2018/10/11,Y_M_5,0.029419631,0.005349792,-0.014626458,-0.007733373,-0.017419464
2018/1/23,2018/10/12,Y_M_1,0.180183584,0.167553013,0.163049944,0.167534567,0.124524537
2018/1/23,2018/10/12,Y_M_2,0.147940877,0.13716684,0.139152709,0.140614405,0.034394543
2018/1/23,2018/10/12,Y_M_3,0.045501567,0.056441528,0.063820667,0.06327938,-0.466667964
2018/1/23,2018/10/12,Y_M_4,-0.015636485,0.000145067,0.00882272,0.007487691,-0.125354125
2018/1/23,2018/10/12,Y_M_5,-0.061931709,-0.034149873,-0.022913019,-0.027259314,-0.010078757
2018/1/23,2018/10/15,Y_M_1,0.186479779,0.183890469,0.157572662,0.174765071,-0.000404795
2018/1/23,2018/10/15,Y_M_2,0.038025837,0.047506327,0.026252064,0.043572698,-0.055312057
2018/1/23,2018/10/15,Y_M_3,-0.011523938,-0.007191233,-0.015452628,-0.008032924,-1.386429028
2018/1/23,2018/10/15,Y_M_4,0.013361414,-0.020269386,-0.022173523,-0.022096291,0.023223555
2018/1/23,2018/10/15,Y_M_5,0.0417458,-0.039057522,-0.040439467,-0.041718479,-0.036382437
2018/1/23,2018/10/16,Y_M_1,0.269550264,0.176803835,0.169595273,0.18038079,0.140902777
2018/1/23,2018/10/16,Y_M_2,0.241316629,0.178755811,0.180311916,0.183038402,0.005792013
2018/1/23,2018/10/16,Y_M_3,0.157539638,0.11594378,0.122566493,0.12188027,-0.379923584
2018/1/23,2018/10/16,Y_M_4,0.09474466,0.074131015,0.078948565,0.078208897,-0.118832671
2018/1/23,2018/10/16,Y_M_5,0.046231873,0.028297873,0.033637427,0.033721051,0.041911019
2018/1/23,2018/10/17,Y_M_1,0.209918369,0.170097087,0.151787697,0.162560524,0.088367411
2018/1/23,2018/10/17,Y_M_2,0.15807753,0.153800015,0.142081045,0.146877524,0.154635838
2018/1/23,2018/10/17,Y_M_3,0.100732204,0.126627092,0.124487324,0.121811785,-0.444757211
2018/1/23,2018/10/17,Y_M_4,0.038559763,0.083305054,0.082944836,0.080343798,-0.000843675
2018/1/23,2018/10/17,Y_M_5,0.024908854,0.046085646,0.043049176,0.042068249,0.014811999
2018/1/23,2018/10/18,Y_M_1,0.260559474,0.166996195,0.181304155,0.17441806,0.104667803
2018/1/23,2018/10/18,Y_M_2,0.191272721,0.14730847,0.150576214,0.152545716,0.063173901
2018/1/23,2018/10/18,Y_M_3,0.154110295,0.130016689,0.132392012,0.133205639,-0.639004785
2018/1/23,2018/10/18,Y_M_4,0.141010168,0.124696622,0.128112002,0.125750309,-0.008263299
2018/1/23,2018/10/18,Y_M_5,0.127174426,0.106909283,0.112469477,0.107807545,0.101202323
2018/1/23,2018/10/19,Y_M_1,0.235468107,0.122868273,0.136285871,0.12580573,0.095599442
2018/1/23,2018/10/19,Y_M_2,0.244688016,0.170245167,0.173326616,0.172563926,-0.087576099
2018/1/23,2018/10/19,Y_M_3,0.187813084,0.157489419,0.158432549,0.158902451,-0.892740319
2018/1/23,2018/10/19,Y_M_4,0.159809249,0.117854246,0.116816193,0.120110793,-0.076318857
2018/1/23,2018/10/19,Y_M_5,0.14369774,0.094221257,0.090562636,0.095891574,0.114323612
2018/1/23,2018/10/22,Y_M_1,0.162608937,0.128952171,0.100022064,0.12114654,0.030304905
2018/1/23,2018/10/22,Y_M_2,0.12401811,0.079461849,0.053182348,0.074543467,-7.04645645
2018/1/23,2018/10/22,Y_M_3,0.084825673,0.030815069,0.012310951,0.028298234,-0.644610791
2018/1/23,2018/10/22,Y_M_4,0.062201529,0.006366624,-0.008238872,0.004602611,-0.103854704
2018/1/23,2018/10/22,Y_M_5,0.003703832,-0.050788193,-0.059361521,-0.050492387,-0.041922508
2018/1/23,2018/10/23,Y_M_1,0.138098634,0.093037034,0.075096894,0.094026848,-0.040560978
2018/1/23,2018/10/23,Y_M_2,0.075532603,0.037195353,0.017900416,0.034969413,-0.151794183
2018/1/23,2018/10/23,Y_M_3,0.041061237,0.031015886,0.015325396,0.02662213,-2.671247872
2018/1/23,2018/10/23,Y_M_4,0.048202342,0.028419281,0.017608575,0.023713178,-0.019199018
2018/1/23,2018/10/23,Y_M_5,0.031756936,0.004964206,-0.002249267,-0.000319201,-0.023206006
2018/1/23,2018/10/24,Y_M_1,0.2806713,0.255145179,0.240833736,0.253723004,0.134341784
2018/1/23,2018/10/24,Y_M_2,0.259922898,0.269614012,0.2574877,0.266602776,0.061685251
2018/1/23,2018/10/24,Y_M_3,0.180769793,0.184424668,0.172804449,0.181170982,-4.499956824
2018/1/23,2018/10/24,Y_M_4,0.138215864,0.115415546,0.105365151,0.112113161,-0.002831109
2018/1/23,2018/10/24,Y_M_5,0.121337538,0.081968115,0.075251255,0.078570859,0.074291646
